Open,High,Low,Close,Volume
160.51,164.48,159.76,163.98,123511700
158.61,161,157.63,160.62,75615380
157.05,160,154.46,159.59,102300200
150.9,155.57,150.38,155.09,92964300
151.45,154.12,150.1,150.62,108732100
158.93,159.28,154.5,154.73,96970100
160.2,160.39,155.98,158.52,105342000
161.475,163.41,159.41,162.95,91454910
158.82,162.88,155.8,157.44,131148300
163.36,165.02,159.04,159.3,96418850
164.49,165.55,162.1,163.17,83819590
168.47,168.91,165.55,166.23,76678440
164.39,167.36,162.95,166.56,79724750
164.695,166.6,161.97,163.2,83474430
163.06,165.42,162.43,165.12,95056630
163.84,165.12,160.8738,164.85,91974220
152.58,162.85,152,162.74,141147500
165.54,166.15,159.75,160.07,90009250
164.98,166.69,162.15,164.32,91162760
169.82,170.5413,166.19,167.3,82772670
171.03,171.91,168.47,168.88,69589340
171.85,173.34,170.05,172.55,61177400
170.97,172.95,170.25,172.79,64286320
167.37,169.58,166.56,168.88,86185530
172.33,173.08,168.04,168.64,98670690
174.14,175.48,171.55,172.12,90865900
176.05,176.65,174.9,176.28,71285040
171.73,175.35,171.43,174.83,74829220
172.86,173.9458,170.95,171.66,77251200
171.68,174.1,170.68,172.39,82465400
174.48,176.2399,172.12,172.9,89418070
174.745,175.88,173.33,175.84,84914260
174.01,174.84,172.31,174.61,86213910
170.16,175,169.51,174.78,115541600
165.71,170.35,162.8,170.33,179935700
162.45,163.84,158.28,159.22,121954600
163.5,164.3894,157.82,159.69,108275300
158.98,162.76,157.02,159.78,115798400
160.02,162.3,154.7,161.62,162706700
164.415,166.33,162.3,162.41,122848900
166.98,169.68,164.18,164.51,91420520
170,171.08,165.94,166.23,94814990
171.51,172.54,169.405,169.8,91168730
171.34,173.78,171.09,173.07,80440780
175.78,176.62,171.79,172.19,84505760
176.12,177.18,174.82,175.53,74805170
172.32,175.18,170.82,175.08,76138310
169.08,172.5,168.17,172.19,106765600
172.89,174.14,171.03,172.17,86709150
172.7,175.3,171.64,172,96903960
179.61,180.17,174.64,174.92,94537600
182.63,182.94,179.12,179.7,99310440
177.83,182.88,177.71,182.01,104701200
178.085,179.23,177.26,177.57,64062260
179.47,180.57,178.09,178.2,59773010
179.33,180.63,178.14,179.38,62348930
180.16,181.33,178.53,179.29,79144340
177.085,180.42,177.07,180.33,74919580
175.85,176.8499,175.27,176.28,68356570
173.04,175.86,172.15,175.64,92135300
171.555,173.2,169.12,172.99,91185910
168.28,170.58,167.46,169.75,107499100
169.93,173.47,169.69,171.14,195923400
179.28,181.14,170.75,172.26,150185800
175.11,179.5,172.3108,179.3,131063300
175.25,177.74,172.21,174.33,139380400
181.115,182.13,175.53,175.74,153237000
175.205,179.63,174.69,179.45,115402700
174.91,176.75,173.92,174.56,108923700
172.125,175.96,170.7,175.08,116998900
169.08,171.58,168.34,171.18,120405400
164.29,167.8799,164.28,165.32,107497000
164.02,164.96,159.72,161.84,118023100
172.17,175.73,172,175.6,90371920
173.88,175.28,172.75,174.72,80546160
172.89,174.14,171.03,172.17,86709150
172.7,175.3,171.64,172,96903960
179.61,180.17,174.64,174.92,94537600
172.86,173.9458,170.95,171.66,77251200
171.68,174.1,170.68,172.39,82465400
152.215,153.59,148.5613,150.04,89868330
